app_id,title,app_type,developer,publisher,release_date,rating_text,game_desc,user_tag
231140,Cities XL Platinum,Game,Focus Home Interactive,Focus Home Interactive,6 February 2013,"56.81% of the 1,475 user reviews are positive.

SteamDB Rating","Build cities, shape a world.Cities XL Platinum lets you design, build and link up cities of all shapes and sizes around the Cities XL planet!Build more impressive cities than ever before! Cities XL Platinum offers a huge variety of over 1,000 buildings and constructions (including 50 brand new structures), that you can freely place on...","Strategy, Simulation, Building, Sandbox, Singleplayer, City Builder, Economy, Management"
317820,Guild of Dungeoneering,Game,Gambrinous,Gambrinous,14 July 2015 – 15:30:00 UTC,"75.50% of the 2,012 user reviews are positive.

SteamDB Rating","Guild of Dungeoneering is a turn-based dungeon crawler with a twist: instead of controlling the hero you build the dungeon around them. Using cards drawn from your Guild decks you lay down rooms, monsters, traps and of course loot!","Strategy, RPG, Indie, Card Game, Turn-Based, Fantasy, Rogue-like, Comedy, Dungeon Crawler, Great Soundtrack, 2D, Rogue-lite, Difficult, Funny, Singleplayer, Replay Value, Cute, Mouse only, Deckbuilding, Roguelike Deckbuilder"
4540,Titan Quest,Game,Iron Lore Entertainment,THQ Nordic,"","","","Action, Adventure, RPG, Hack and Slash, Fantasy, Co-op, Classic, Dungeon Crawler, Online Co-Op, Multiplayer, Historical, Atmospheric, Singleplayer, Action RPG, Loot, Isometric, Female Protagonist, Mythology, Action, Adventure, RPG, Hack and Slash, Fantasy, Co-op, Classic, Dungeon Crawler, Online Co-Op, Multiplayer, Historical, Atmospheric, Singleplayer, Action RPG, Loot, Isometric, Female Protagonist, Mythology"
935270,Great Hero's Beard,Game,OneShark,SakuraGame,18 October 2018 – 06:15:33 UTC,"85.62% of the 925 user reviews are positive.

SteamDB Rating","Start your journey as a simple weakling and watch as you grow a big-ass warlord's beard, slay a bunch of demigods & rescue princesses who will show their gratitude. Never stop looting.","Adventure, RPG, Indie, Casual, Clicker"
449800,Attack on Titan / A.O.T. Wings of Freedom,Game,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",26 August 2016 – 08:36:56 UTC,"84.43% of the 3,166 user reviews are positive.

SteamDB Rating","An international hit anime """"Attack on Titan"""" has come to Steam®! Battle is joined between the man-eating Titans and Eren and his companions. Experience the illusion of being in the anime, and controlling the flow of the story. The story from the anime, with a few original twists, is yours to experience!","Action, Adventure, RPG, Hack and Slash, Horror, Co-op, Open World, Third Person, Psychological Horror, Story Rich, Great Soundtrack, Online Co-Op, Multiplayer, Anime, Singleplayer, Dark, Gore, Nudity, Controller, Memes"
45300,Wings of Prey,Game,Gaijin Entertainment Corporation,Gaijin Entertainment,8 January 2010 – 18:01:00 UTC,"65.56% of the 543 user reviews are positive.

SteamDB Rating","Wings of Prey is based around the large-scale aerial combat and ground military operations of World War II. Players can participate in some of the war’s most famous battles piloting fighters, battle planes and bombers across a range of thrilling missions.","Action, Simulation, Multiplayer, Historical, World War II, Singleplayer, TrackIR, Flight"
352550,Urban Empire,Game,Reborn Games,Kalypso Media Digital,20 January 2017 – 17:38:28 UTC,"33.78% of the 2,339 user reviews are positive.

SteamDB Rating","Urban Empire is a ‘City Ruler’, pioneering a new breed of strategy game that combines city builder features with political scheming and adds profound social and historical events into the mix, creating a whole new gameplay experience.","Strategy, RPG, Simulation, Historical, Singleplayer, City Builder, Economy, Politics, Political, Management, Political Sim"
224900,Iron Sky Invasion,Game,Reality Pump,Topware Interactive,13 December 2012,"58.66% of the 953 user reviews are positive.

SteamDB Rating","In the near future, mankind faces the greatest threat to its posterity ever in recorded history: an invading Nazi horde, reborn in the depths of space! An armada of Fourth Reich ships, built in secret at a hidden base on the moon, descends upon the Earth to rain terror and destruction.But this is not done without resistance.","Strategy, Action, Simulation, Space, Sci-fi, FMV"
376870,Minecraft: Story Mode - A Telltale Games Series,Game,Telltale Games,Telltale Games,13 October 2015 – 17:00:00 UTC,"75.88% of the 8,044 user reviews are positive.

SteamDB Rating","Episode 1 is now FREE - for a limited time! In Minecraft: Story Mode, playing as either a male or female hero named 'Jesse,' you’ll embark on a perilous adventure across the Overworld, through the Nether, to the End, and beyond.","Adventure, Casual, Building, Zombies, Survival, Fantasy, Third Person, Crafting, Comedy, Story Rich, Pixel Graphics, Funny, Atmospheric, Singleplayer, Episodic, Choose Your Own Adventure, Quick-Time Events, Family Friendly, Choices Matter, Memes"
255420,Magic 2015,Game,Stainless Games,Wizards of the Coast,16 July 2014 – 15:00:00 UTC,"44.79% of the 4,043 user reviews are positive.

SteamDB Rating","""""Hunt bigger game on a bold new adventure with Magic 2015—Duels of the Planeswalkers! Hone your skills as you battle your way across the planes of the Multiverse. Beware though, Planeswalker. Your biggest danger is one of your own ... Garruk Wildspeaker, the greatest hunter known, is now hunting you!","Strategy, Adventure, Card Game, Turn-Based, Fantasy, Turn-Based Strategy, Multiplayer, Magic, Singleplayer, Trading Card Game, Deckbuilding"
486310,Meadow,Game,Might and Delight,Might and Delight,26 October 2016 – 14:56:05 UTC,"89.33% of the 5,088 user reviews are positive.

SteamDB Rating","A forum in games clothing, this online fable experience lets old and new fans of the Shelter series come together and encounter a peculiar world.","Adventure, RPG, Massively Multiplayer, Indie, Casual, Simulation, Relaxing, Co-op, Open World, Great Soundtrack, Sandbox, Exploration, Multiplayer, Atmospheric, Colorful, Cute, Family Friendly, Beautiful, Walking Simulator, Nature"
272350,Tom Clancy's Ghost Recon Phantoms - EU,Game,Ubisoft Singapore,Ubisoft,10 April 2014 – 16:00:00 UTC,"","","Strategy, Action, Adventure, Free to Play, RPG, Massively Multiplayer, FPS, Co-op, Stealth, Third Person, Tactical, Shooter, Sandbox, Third-Person Shooter, First-Person, Multiplayer, Sci-fi, Singleplayer, Futuristic, Team-Based"
270550,Yet Another Zombie Defense,Game,Awesome Games Studio,Awesome Games Studio,28 March 2014 – 16:59:00 UTC,"86.45% of the 11,898 user reviews are positive.

SteamDB Rating","Darkness is coming. How long can YOU survive? Build your base by day, defend it by night. Play in online or local co-op. Stay alive as long as you can.","Strategy, Action, Free to Play, Indie, Casual, Tower Defense, Zombies, Survival, Horror, Co-op, Arcade, Shooter, Local Co-Op, Online Co-Op, Multiplayer, Difficult, Singleplayer, Top-Down Shooter, Top-Down, Isometric"
370910,Kathy Rain,Game,Clifftop Games,Raw Fury,5 May 2016 – 17:00:00 UTC,"92.78% of the 2,965 user reviews are positive.

SteamDB Rating","Set in the 90's, Kathy Rain tells the story of a strong-willed journalism major who has to come to terms with her own troubled past as she investigates the mysterious death of her recently deceased grandfather.","Adventure, Indie, Puzzle, Point & Click, Psychological Horror, Story Rich, Pixel Graphics, Retro, Singleplayer, Detective, Mystery, Noir, Female Protagonist"
